날짜,시가,고가,저가,종가,엔상1,엔상2,엔상3,엔상4,엔상5,엔하1,엔하2,엔하3,엔하4,엔하5,피4,피5,V1,V2
2024/11/13,52000,53000,50500,50600,57076.4705882353,58865.756302521,60472.8991596639,62171.1134453782,63869.3277310924,54900,55287.1848739496,53680.0420168067,51981.8277310924,50283.6134453782,55228.75,56418.75,60370.6229845623,59230.5435403925
2024/11/12,54600,54600,53000,53000,57570.5882352941,59347.0168067227,60958.4453781513,62652.3739495798,64346.3025210084,54200,55794.1596638656,54182.731092437,52488.8025210084,50794.8739495798,56380,57103.8461538462,59755.8911242473,58966.0340122761
2024/11/11,56700,56800,55000,55000,57935.2941176471,59700.2941176471,61311.0084033613,62998.8655462185,64686.7226890756,55600,56170.2941176471,54559.5798319328,52871.7226890756,51183.8655462185,57227.5,57629.8076923077,59291.8918840011,58780.7452793749
2024/11/08,58000,58300,57000,57000,58211.7647058824,59950.3361344538,61571.7647058824,63251.7647058824,64931.7647058824,56100,56473.1932773109,54851.7647058824,53171.7647058824,51491.7647058824,57853.75,58043.75,58983.8651871969,58669.7241874766
2024/11/07,56900,58100,56800,57500,58358.8235294118,60073.1092436975,61710.2521008403,63385.9663865546,65061.6806722689,55900,56644.5378151261,55007.3949579832,53331.6806722689,51655.9663865546,58146.25,58233.1730769231,58877.9725024716,58601.4363946467
2024/11/06,57600,58000,56300,57300,58564.7058823529,60256.8487394958,61914.7058823529,63589.7058823529,65264.7058823529,54000,56872.5630252101,55214.7058823529,53539.7058823529,51864.7058823529,58353.75,58328.3653846154,58987.2718312367,58716.2556265474
2024/11/05,57800,58100,57200,57600,58770.5882352941,60439.1596638656,62123.4453781513,63799.8739495798,65476.3025210084,54000,57102.0168067227,55417.731092437,53741.3025210084,52064.8739495798,58446.25,58313.9423076923,59043.8900762582,58838.4517191138
2024/11/04,58600,59400,58400,58700,58870.5882352941,60519.8739495798,62237.731092437,63921.3025210084,65604.8739495798,53400,57221.3025210084,55503.4453781513,53819.8739495798,52136.3025210084,58583.75,58332.2115384615,59065.3498100147,58941.7925491692
2024/11/01,59000,59600,58100,58300,58882.3529411765,60509.4957983193,62255.2100840336,63941.6386554622,65628.0672268908,54100,57255.2100840336,55509.4957983193,53823.0672268908,52136.6386554622,58548.75,58387.9807692308,59249.0883503733,59095.7861131212
2024/10/31,58500,61200,58300,59200,59000,60615,62385,64077.5,65770,53700,57385,55615,53922.5,52230,58271.25,58454.3269230769,59469.9329016587,59344.0188087996
